term,papers,category,secondary,model,prompt_sha,created_at
renewable biofuels and chemicals,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709679+00:00
control illegal dumping,1,governance_institutional,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709683+00:00
improve recycling participation,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709687+00:00
nanoself-assembly,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709691+00:00
persons full development,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709694+00:00
new magnetic composite materials,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709698+00:00
self-sufficient supply,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709701+00:00
recycling circles failure,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709705+00:00
assess potential as functional ingredient,1,material_technical,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709708+00:00
understanding and regulating symmetry breaking,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709711+00:00
environmental health,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709714+00:00
producing foam glass from waste,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709720+00:00
elucidating research boundaries,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709724+00:00
plant growth stimulant,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709732+00:00
separation of dye from salt,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709738+00:00
desulfurization yield,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709741+00:00
reduce food contamination,1,environmental,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709744+00:00
waste valorization biogas production,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709748+00:00
chemo-catalytic valorisation,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709751+00:00
rabbit feeding suitability,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709757+00:00
increase reuse achieve circularity,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709760+00:00
sustainable aluminum recycling,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709770+00:00
assess geochemical quality,1,environmental,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709776+00:00
impact on qol,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709789+00:00
ordered self-assembly of collagen supramolecular structures,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709806+00:00
improving methodology of analysis,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709812+00:00
smart project planning,1,methodological_knowledge,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709816+00:00
optimize abp management enhance biogas yield,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709820+00:00
alter end-of-use behaviour,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709824+00:00
biorefinery characterization,1,material_technical,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709832+00:00
bioactive potential assessment,1,material_technical,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709836+00:00
waste valorization oligosaccharides,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709840+00:00
strengthen bilateral efforts,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709843+00:00
reduce asr-induced expansion,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709850+00:00
standardized approach,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709859+00:00
material recyclability waste reduction,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:50.709873+00:00
maintain non-decreasing,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730580+00:00
ethical environmental and social benefits,1,general_cross_domain,environmental|social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730637+00:00
biomethane production prediction,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730647+00:00
improve design process,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730654+00:00
policy consistency,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730661+00:00
requirements revision,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730668+00:00
identify critical challenges,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730674+00:00
multi-solving social and ecological problems,1,general_cross_domain,social_behavioral_educational|environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730681+00:00
system generalization and implementation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730687+00:00
managerial insights,1,economic_business,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730693+00:00
eliminate serpentine content,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730703+00:00
minimising cdw,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730708+00:00
mechanism adjustment,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730714+00:00
co2 adsorption functionalization,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730719+00:00
evaluate intensive use level,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730724+00:00
improve recycling realize circular economy,1,general_cross_domain,material_technical|environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730730+00:00
disposing in innocuous resource decreasing and scale way,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730735+00:00
waste-free biofuel production,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730740+00:00
priority analysis,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730745+00:00
remediate degraded areas,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730752+00:00
ethical value co-creation,1,social_behavioral_educational,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730758+00:00
promote bioreceptivity,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730765+00:00
biogenic emission reduction,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730770+00:00
strategic prioritization of resource streams,1,material_technical,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730776+00:00
asymmetric synthesis,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730782+00:00
improving economics,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730787+00:00
increase motivation,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730793+00:00
identify and sequence circular renovation measures,1,material_technical,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730798+00:00
change management,1,social_behavioral_educational,economic_business|governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730805+00:00
efficiency and impact reduction,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730811+00:00
regenerative built environment,1,general_cross_domain,material_technical|environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730816+00:00
habitat conservation,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730823+00:00
γ-pga biosynthesis,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730828+00:00
process stability part quality,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730834+00:00
improve functional profile,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730840+00:00
self-healable active packaging,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730845+00:00
legislation approximation,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730851+00:00
cr vi retention,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730857+00:00
reduce urban waste lower co₂ emissions,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730863+00:00
attribution of global warming potential,1,environmental,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:53.730869+00:00
drilling fluid additive,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965438+00:00
acid mine drainage control,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965493+00:00
reduce ppe waste,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965505+00:00
immune response evaluation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965513+00:00
wasteless mining,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965521+00:00
elemental removal,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965530+00:00
co2 binding estimation,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965538+00:00
anti-inflammatory effects antithrombotic,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965547+00:00
enhance innovative component,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965555+00:00
improve their use as amendments,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965563+00:00
surface area increase,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965570+00:00
catalytic mineralization of mo dye,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965579+00:00
quantify mp pool,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965587+00:00
economic profit and environmental impact,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965594+00:00
create acoustic plates,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965603+00:00
improve efficacy,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965611+00:00
economic and sustainable,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965618+00:00
chiral amplification,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965625+00:00
evaluate biostimulant,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965634+00:00
material incorporation viability,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965641+00:00
socio-economic effects,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965650+00:00
assessing residents perceptions,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965656+00:00
revalue construction techniques,1,material_technical,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965665+00:00
adapting green culture,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965674+00:00
slow-release nitrogen,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965680+00:00
recover neodymium,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965689+00:00
bioaccessibility assessment,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965696+00:00
environmental economic and social strengthening,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965705+00:00
systematize and improve,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965712+00:00
ecologically safe development,1,environmental,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965720+00:00
recover metal content,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965727+00:00
recover macro-micronutrients,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965736+00:00
support sustainability,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965753+00:00
land restoration fertilizer production,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965763+00:00
obtain valuable compounds,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965770+00:00
mechanical behavior waste conversion,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965777+00:00
ascertain cost-effectiveness,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965783+00:00
value recovery and reduce waste,1,material_technical,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965790+00:00
evaluation of fruit quality,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965827+00:00
water reuse verification,1,environmental,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:56.965835+00:00
ecosystem service valuation economic benefits,1,environmental,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181053+00:00
recover energy and aluminium,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181113+00:00
reduce hypertension,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181123+00:00
diet replacement,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181132+00:00
postpone cheese deterioration,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181140+00:00
mitigating n2o and no emissions,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181149+00:00
energy generation animal consumption,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181156+00:00
reduce ch4 emissions,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181164+00:00
improved plastic waste collection,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181174+00:00
rapid grading,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181182+00:00
airborne infection transmission,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181187+00:00
inspiring good practices,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181192+00:00
promote green investment,1,economic_business,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181196+00:00
business model legitimation,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181201+00:00
engineering sustainability,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181207+00:00
process transformation,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181211+00:00
facilitating retrieval,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181216+00:00
boost pdp performance,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181221+00:00
material productivity ratio,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181225+00:00
application in contexts,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181230+00:00
sustainability culture,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181233+00:00
negative emissions,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181239+00:00
elucidate macroeconomic influence,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181242+00:00
analyze organic sector,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181247+00:00
design incorporation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181251+00:00
collection policies,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181255+00:00
lifecycle implications,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181259+00:00
investor confidence,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181265+00:00
organizational resilience,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181270+00:00
promote full utilisation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181275+00:00
biopesticidal capacity,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181281+00:00
abrasive performance improvement,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181286+00:00
drug delivery systems,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181290+00:00
ecofriendly applications,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181295+00:00
sustainability perception,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181299+00:00
environmental impact balance,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181304+00:00
support future research,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181309+00:00
recycling woody waste,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181313+00:00
polymer degradation,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181318+00:00
mitigate supercenter effect,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:19:59.181324+00:00
attach meaning,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541183+00:00
moderate environmental impacts,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541245+00:00
promote consumer upcycling,1,social_behavioral_educational,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541254+00:00
energy and biofertilizer production,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541261+00:00
environmental pollution,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541271+00:00
boost household involvement,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541278+00:00
derived material applications,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541286+00:00
reduce plastic was,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541292+00:00
unified model,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541301+00:00
low carbon assessment,1,environmental,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541308+00:00
gestão participativa,1,governance_institutional,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541315+00:00
promote industry transition,1,economic_business,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541324+00:00
identify goals and initiatives,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541332+00:00
assess social responsibilities,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541338+00:00
avoid reflective cracking,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541344+00:00
empower msmes,1,economic_business,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541350+00:00
green reclaiming,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541357+00:00
health transformation,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541365+00:00
improve self-sufficiency,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541373+00:00
optimizing composite structures,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541380+00:00
recover critical metals,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541387+00:00
utilization of elementary production,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541393+00:00
development of autonomous buildings,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541399+00:00
biomaterial development,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541406+00:00
reduce pressure on forests,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541413+00:00
azithromycin removal,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541417+00:00
shortage of raw materials,1,economic_business,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541425+00:00
ecological industry designing,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541432+00:00
development optimization,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541437+00:00
circular process innovation,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541445+00:00
recovery model,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541451+00:00
supramolecular chirality,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541457+00:00
improving guests satisfaction,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541462+00:00
super-circulation system,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541469+00:00
alignment between themes,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541476+00:00
risk prioritization,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541483+00:00
characteristic agriculture,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541488+00:00
material circular economy,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541494+00:00
drive business models,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541500+00:00
managing products,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:01.541508+00:00
develop specific competences,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838824+00:00
solve ecological problems,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838859+00:00
optimize operations,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838867+00:00
value evaluation system,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838873+00:00
identify gaps in education,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838881+00:00
turnover increase,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838887+00:00
demonstrate ce profiles,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838892+00:00
reaction route topology,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838898+00:00
achieving this goal,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838904+00:00
sustain living,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838909+00:00
green innovation competencies,1,social_behavioral_educational,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.838914+00:00
explore sustainability contribution,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839025+00:00
adoption status,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839030+00:00
ecological integration,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839034+00:00
accumulative mechanism discussion,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839039+00:00
transition from le towards ce,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839043+00:00
improve economic indicators,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839047+00:00
prolong life cycle,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839052+00:00
carbon-neutral fuel,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839056+00:00
valorization waste reduction ingredient development,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839060+00:00
enhance implementation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839065+00:00
re-examine cee,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839069+00:00
predict further treatment,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839073+00:00
economic complexity development,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839077+00:00
flexible multi-attribute auctions,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839081+00:00
addressing recyclability,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839085+00:00
activate consumers,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839090+00:00
leveraging value,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839094+00:00
foster multi-sectoral linkage,1,governance_institutional,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:20:03.839098+00:00
