term,papers,category,secondary,model,prompt_sha,created_at
co2 mineralization,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971867+00:00
preventative measures recycling practices,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971872+00:00
cocoso,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971877+00:00
battery recycling,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971882+00:00
material stock analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971888+00:00
policy learning,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971892+00:00
business model configurator,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971897+00:00
collection modalities,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971901+00:00
legislative framework analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971906+00:00
mechanical thermal chemical recycling,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971910+00:00
eco-design life cycle assessment,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971915+00:00
critical discussion,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971920+00:00
critical discourse analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971925+00:00
social media analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971929+00:00
swot method,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971934+00:00
fmols and dols,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971939+00:00
conjoint analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971943+00:00
bioactive compound recovery,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971947+00:00
population genetic characterisation,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971952+00:00
dynamic stock model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971956+00:00
decentralized composting,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971961+00:00
qualitative survey,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971965+00:00
design tool development,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971970+00:00
bibliographic search,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971974+00:00
qualitative inquiry,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971978+00:00
literature review expert interviews,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971982+00:00
rapid evidence assessment,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971987+00:00
nutrient cycling,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971991+00:00
systematic overview,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.971996+00:00
atmospheric pressure plasma,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.972000+00:00
exploratory empirical analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.972005+00:00
dynamic framework,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.972009+00:00
empirical evidence,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.972014+00:00
crowdsourcing challenge,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.972018+00:00
business case analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.972022+00:00
markov chain model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:05.972027+00:00
syngas fermentation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461069+00:00
cement substitution,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461160+00:00
self-determination theory,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461167+00:00
protein engineering,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461172+00:00
anaerobic codigestion,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461176+00:00
sourdough fermentation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461181+00:00
dynamic panel models,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461185+00:00
photocatalytic production,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461197+00:00
food processing,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461370+00:00
durable goods model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461437+00:00
value-belief-norm theory,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461445+00:00
microwave-assisted aminolysis,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461449+00:00
repair and reuse,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461500+00:00
photocatalytic valorization,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461506+00:00
hybrid modelling,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461510+00:00
sensitivity analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461514+00:00
dft calculations,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461518+00:00
systematic review meta-analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461522+00:00
cluster analysis correspondence analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461528+00:00
swoc and abcd analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461533+00:00
container-based sanitation,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461537+00:00
decentralized treatment,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461541+00:00
field survey,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461545+00:00
photoreforming,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461549+00:00
hydrodeoxygenation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461553+00:00
open design,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461558+00:00
one-pot synthesis,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461562+00:00
algorithm development,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461568+00:00
photocatalytic upcycling,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461572+00:00
simulations,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461587+00:00
gabek method,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461592+00:00
in situ synthesis,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461596+00:00
evaluation tools,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461600+00:00
choice-based conjoint analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461604+00:00
olefin metathesis,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461610+00:00
temperature swing adsorption vacuum swing adsorption,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461614+00:00
responsible innovation,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461620+00:00
data science,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461625+00:00
biosurfactant production,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461629+00:00
microwave-assisted depolymerization,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:08.461633+00:00
biodigester,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903566+00:00
analytic hierarchy process variation analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903598+00:00
checklist,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903607+00:00
quantitative evaluation,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903615+00:00
microwave irradiation treatment,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903623+00:00
slack-based measure approach,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903630+00:00
requirements engineering,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903637+00:00
mathematical programming model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903645+00:00
catalytic transfer hydrogenation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903653+00:00
steam cracking,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903660+00:00
rough set theory,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903667+00:00
macro-economic assessment,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903674+00:00
service-dominant logic,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903681+00:00
thermal oxidation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903688+00:00
adsorption combustion,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903696+00:00
hydrogen production,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903703+00:00
qualitative bibliographic research,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903710+00:00
grey relation degree,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903718+00:00
weibull distribution,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903725+00:00
anaerobic digestion solid-state fermentation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903732+00:00
theoretical predictions,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903739+00:00
participatory design,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903746+00:00
library research,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903752+00:00
biological recovery,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903759+00:00
thermolysis,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903766+00:00
sentiment analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903773+00:00
construction,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903779+00:00
aluminothermic reduction,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903786+00:00
bioactive cover layer,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903793+00:00
performance assessment,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903800+00:00
hydrogen reduction,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903807+00:00
dehydration,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903814+00:00
compostaje,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903821+00:00
closed cycle,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903828+00:00
deep-sea mining,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903835+00:00
solar dehydration,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903841+00:00
political and legal analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903848+00:00
circular economy promotion,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903855+00:00
exploratory literature review,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903861+00:00
clean coal technology,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:10.903868+00:00
psychophysiological approach,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.705951+00:00
material tinkering,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706156+00:00
digital workflow,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706163+00:00
conference presentation,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706168+00:00
chemical degradation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706172+00:00
laser cleaning,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706177+00:00
spray deposition technique,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706180+00:00
systemic and evolutionary approaches,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706184+00:00
gas fermentation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706188+00:00
land reclamation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706192+00:00
data evaluation,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706196+00:00
eco-management,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706200+00:00
comparison and systematization,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706204+00:00
economic production quantity model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706207+00:00
nominal group technique,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706211+00:00
rotational moulding,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706215+00:00
coordination chemistry,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706223+00:00
solid-phase mixing,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706228+00:00
permutation test,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706231+00:00
soil mixing,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706234+00:00
chromatographic analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706238+00:00
melt purification,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706241+00:00
genome-wide expression analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706245+00:00
method of moments quantile regression,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706248+00:00
rheometer kinetic model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706252+00:00
3d scanning discrete design,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706255+00:00
emission estimation,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706259+00:00
descriptive approach,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706263+00:00
program analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706266+00:00
analysis of investments,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706270+00:00
pollution index method,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706274+00:00
direct sampling,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706277+00:00
multidisciplinary education,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706281+00:00
pss design and evaluation,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706285+00:00
recycling model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706289+00:00
technological retrofitting,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706292+00:00
circular economy integration,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706296+00:00
wasteless production,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706300+00:00
repeated fermentation,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706303+00:00
comprehensive evaluation,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:13.706306+00:00
dynamic analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460902+00:00
hydrothermal route,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460956+00:00
material processing,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460961+00:00
investigación documental,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460962+00:00
waste recovery,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460975+00:00
dietary inclusion,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460979+00:00
liquid cooling,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460981+00:00
modelo de evaluación,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460982+00:00
análisis ciclo de vida,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460983+00:00
urban regeneration,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460984+00:00
sensor combination,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460986+00:00
road construction,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460987+00:00
ammonia leaching,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460992+00:00
pem electrolysis,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460994+00:00
mechanical grinding calcination,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460995+00:00
electrochemical regeneration,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460996+00:00
cold plasma,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460998+00:00
repurposing,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.460999+00:00
focus group session,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461000+00:00
system-structural analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461002+00:00
mechanism analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461008+00:00
integrated innovation,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461010+00:00
swot analytical method,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461016+00:00
waste infrastructure management,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461017+00:00
interpretive approach,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461019+00:00
lifespan analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461020+00:00
pollution indices,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461021+00:00
konferenca,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461022+00:00
quantum chemical method,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461024+00:00
bioreduction,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461025+00:00
xrf xrd tga leaching test,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461026+00:00
pestle swot analysis,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461027+00:00
oxidation nitrification carbonization,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461029+00:00
foam glass production,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461032+00:00
commodity lens,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461034+00:00
population project,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461035+00:00
protein enrichment,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461036+00:00
recycling and repurposing,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461041+00:00
microbial valorization,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461042+00:00
ultrasound treatment,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:16.461043+00:00
error correction model,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784320+00:00
sustainable innovations,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784386+00:00
densification,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784396+00:00
photoredox catalysis,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784406+00:00
thermal and catalytic cracking,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784417+00:00
sheet metal forming,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784427+00:00
host-guest chemistry,2,material_process_or_technology,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784434+00:00
peer-review process,2,research_or_assessment_method,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784442+00:00
import substitution,2,systemic_or_organizational_practice,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784451+00:00
collaborative approach,2,ambiguous_context_required,,google/gemini-2.5-flash-lite,87ff8f55a8cc,2026-07-16T08:06:20.784459+00:00
